Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,33.503254413604736,31.251463890075684,0.062388391041494295
100,33.614768743515015,31.251463890075684,0.08058923934424424
200,33.73578381538391,31.251463890075684,0.08055320029553559
300,33.85179877281189,31.251463890075684,0.08060962986826838
400,33.968313694000244,31.251463890075684,0.08125547318950997
500,34.08832859992981,31.251463890075684,0.08131405564934212
600,34.206843852996826,31.251463890075684,0.08156057346011716
700,34.33285999298096,31.251463890075684,0.08176864094846499
800,34.451374769210815,31.251463890075684,0.08202398620903831
900,34.571890115737915,31.251463890075684,0.08190552517468376
1000,34.69390559196472,31.251463890075684,0.08183914178886612
1100,34.81342077255249,31.251463890075684,0.08192220857613294
1200,34.934436321258545,31.251463890075684,0.08179257922465696
1300,35.054951429367065,31.251463890075684,0.08191272212532895
1400,35.174466609954834,31.251463890075684,0.08199757954019403
1500,35.30098271369934,31.251463890075684,0.0818598360699256
1600,35.42149806022644,31.251463890075684,0.08180034120045544
1700,35.54001307487488,31.251463890075684,0.08165654954087326
1800,35.65752816200256,31.251463890075684,0.08172936387233427
1900,35.79054498672485,31.251463890075684,0.08161844543999412
2000,35.90905976295471,31.251463890075684,0.08159155035913819
4000,37.86180782318115,31.251463890075684,0.08182189275186977
6000,39.71754336357117,31.251463890075684,0.08189892781308548
8000,41.63478708267212,31.251463890075684,0.08196079543996096
10000,43.5765335559845,31.251463890075684,0.08198253229128166
12000,45.497777462005615,31.251463890075684,0.08202732798545276
14000,47.39651870727539,31.251463890075684,0.08205638519540236
16000,49.3162624835968,31.251463890075684,0.08208212433221548
18000,51.178998947143555,31.251463890075684,0.08208703760930523
20000,53.122745752334595,31.251463890075684,0.08206992135995582
22000,55.02448749542236,31.251463890075684,0.08204957198187203
24000,56.90822649002075,31.251463890075684,0.08209186574204488
26000,58.76996302604675,31.251463890075684,0.08215178246762651
28000,60.61269688606262,31.251463890075684,0.08215099655627003
30000,62.45443081855774,31.251463890075684,0.08216198634804965
32000,64.361172914505,31.251463890075684,0.08217036894699882
34000,66.40443229675293,31.251463890075684,0.08218907229146459
36000,68.3491792678833,31.251463890075684,0.08220201411112425
38000,70.23491883277893,31.251463890075684,0.08218874390598711
40000,72.18766665458679,31.251463890075684,0.08216843881994158
42000,74.09590911865234,31.251463890075684,0.08216420406217133
44000,75.98564910888672,31.251463890075684,0.08217342648946753
46000,77.96340012550354,31.251463890075684,0.08217943337499956
48000,79.91714811325073,31.251463890075684,0.0822062906532274
50000,81.8098886013031,31.251463890075684,0.08221724631649285
