Number of computed data,Time spent in total,Time spent on the quantum circuit,Cost function
1,0.10001277923583984,0.07300925254821777,0.05832213509982794
100,2.043259382247925,1.9552476406097412,0.08465165428188724
200,4.020010471343994,3.8884923458099365,0.08403123566357217
300,6.0502684116363525,5.838241100311279,0.08453325293207302
400,8.047021865844727,7.770487308502197,0.08473245581720683
500,10.079780101776123,9.713735342025757,0.08527219921883662
600,12.08753490447998,11.653981447219849,0.08509360153748255
700,14.099290370941162,13.589226007461548,0.08466789661371422
800,16.126047611236572,15.534473419189453,0.08418049724264777
900,18.06879425048828,17.408711910247803,0.08369672062072077
1000,20.058547258377075,19.352958917617798,0.0834136044693572
1100,22.071802616119385,21.297706127166748,0.08366838678038638
1200,24.16956901550293,23.319462060928345,0.08367706979895816
1300,26.176324129104614,25.23870539665222,0.0836764398891792
1400,28.13407254219055,27.154446601867676,0.08354335524500445
1500,30.09632182121277,29.072190761566162,0.08338885368000244
1600,32.052570104599,30.98893094062805,0.08304645684546444
1700,33.98231530189514,32.87667226791382,0.08314533481018223
1800,35.95656609535217,34.80591607093811,0.08289135182423059
1900,37.99132442474365,36.761664628982544,0.08281074882231722
2000,39.99657869338989,38.707911014556885,0.08272654329443697
4000,79.22456002235413,77.3928210735321,0.08259385248523493
6000,118.52705097198486,116.14073586463928,0.08275915962199581
8000,157.88154816627502,154.91865825653076,0.08301485955388717
10000,197.01751804351807,193.51555371284485,0.08303541233165895
12000,236.32300925254822,232.26796221733093,0.08309502025162292
14000,275.5654923915863,270.97688150405884,0.08307698367925204
16000,314.5574436187744,309.4622700214386,0.08311602754141938
18000,353.83993196487427,348.2096917629242,0.08320944582384557
20000,393.21343183517456,387.0396201610565,0.08319387716836144
22000,432.3959074020386,425.6410140991211,0.08315654810104689
24000,471.7018985748291,464.42494773864746,0.08307663269829002
26000,511.0173909664154,503.20487689971924,0.08310107189038636
28000,550.0278446674347,541.6612584590912,0.08302681144499506
30000,589.0247967243195,580.1196413040161,0.08302202792082027
32000,628.0647542476654,618.6390357017517,0.08299400630158828
34000,667.6852850914001,657.7164974212646,0.08300716842212007
36000,706.8597598075867,696.3459048271179,0.0829839197859017
38000,746.0687386989594,734.994313955307,0.08296186083383571
40000,785.2542145252228,773.6547274589539,0.08297432604924404
42000,824.4951977729797,812.350647687912,0.08296428118158151
44000,864.4287683963776,851.7506513595581,0.0829457387798811
46000,903.7247583866119,890.5280866622925,0.08289323162550973
48000,942.9447388648987,929.2034990787506,0.08290563646435908
50000,982.064706325531,967.7663943767548,0.08286197704414433
